feature_id,year,Sum_SSI,Count_Extreme_Drought_Days
CHADIZA,2000,17.91197900750486,12
CHADIZA,2001,66.27970359050046,0
CHADIZA,2002,20.102693298849758,11
CHADIZA,2003,50.16859632401872,3
CHADIZA,2004,-1.976396079226832,23
CHADIZA,2005,-163.49076531127204,76
CHADIZA,2006,69.05358293880657,0
CHADIZA,2007,-1.791545315507443,6
CHADIZA,2008,-37.65930769213222,45
CHADIZA,2009,50.074054773556725,0
CHADIZA,2010,35.47442609262367,3
CHADIZA,2011,31.935912242003617,0
CHADIZA,2012,36.34675089186576,7
CHADIZA,2013,-1.8817276534110359,16
CHADIZA,2014,5.650113046226252,2
CHADIZA,2015,14.876353110288399,14
CHADIZA,2016,-84.11221086230171,37
CHADIZA,2017,53.90241846296522,0
CHADIZA,2018,-45.14646592252266,30
CHADIZA,2019,22.284345348036915,8
CHADIZA,2020,-51.70118412897356,52
CHADIZA,2021,41.830549622410665,0
CHADIZA,2022,8.713042299214566,17
CHADIZA,2023,69.98566539032497,0
CHADIZA,2024,-219.22981919166625,93
CHADIZA,2025,-13.635193687739338,19
CHADIZA,2026,23.450425048679467,8
CHAMA,2000,-163.8799622203028,57
CHAMA,2001,49.4660768113436,0
CHAMA,2002,69.2447182777442,2
CHAMA,2003,-34.242878454355626,22
CHAMA,2004,-57.41466460740898,28
CHAMA,2005,-138.07558777913917,66
CHAMA,2006,-80.3146591243689,55
CHAMA,2007,9.198081611870021,30
CHAMA,2008,-30.707439403085782,35
CHAMA,2009,-10.980442928821486,8
CHAMA,2010,31.21554577680668,0
CHAMA,2011,16.817551225984953,3
CHAMA,2012,12.626948190178766,5
CHAMA,2013,22.319461672711814,11
CHAMA,2014,33.725691812324975,3
CHAMA,2015,-20.27876786834857,25
CHAMA,2016,25.04022688121971,0
CHAMA,2017,-35.41082097521703,32
CHAMA,2018,29.440573505990333,14
CHAMA,2019,31.98161903897152,2
CHAMA,2020,53.749804876369204,0
CHAMA,2021,56.8138043365044,0
CHAMA,2022,54.897364110973484,8
CHAMA,2023,93.21692547913457,1
CHAMA,2024,61.108639495521174,0
CHAMA,2025,-139.3322273017882,57
CHAMA,2026,56.8630348306746,0
CHASEFU,2000,-181.09315359092164,77
CHASEFU,2001,49.9417462822393,0
CHASEFU,2002,40.027066014252355,5
CHASEFU,2003,15.331371866467718,12
CHASEFU,2004,-63.269799315012676,26
CHASEFU,2005,-145.8404066899335,70
CHASEFU,2006,-74.54683119072988,27
CHASEFU,2007,11.919427957731509,26
CHASEFU,2008,-19.33156616842869,35
CHASEFU,2009,9.453877021372136,7
CHASEFU,2010,-10.685226176812467,10
CHASEFU,2011,-32.61479176508941,19
CHASEFU,2012,45.965428716849125,1
CHASEFU,2013,12.758162789851779,0
CHASEFU,2014,40.53379434117043,0
CHASEFU,2015,7.349671779097572,22
CHASEFU,2016,0.47659050050841106,3
CHASEFU,2017,-50.0893860351661,40
CHASEFU,2018,37.581360436102365,11
CHASEFU,2019,44.518411440508395,2
CHASEFU,2020,56.31710353368821,0
CHASEFU,2021,92.83195091052303,0
CHASEFU,2022,68.35119279806906,4
CHASEFU,2023,125.86995064376303,0
CHASEFU,2024,-10.421436746484892,8
CHASEFU,2025,-133.67819320144227,52
CHASEFU,2026,58.93143931082737,0
CHIBOMBO,2000,31.549658736182206,13
CHIBOMBO,2001,79.40515049081996,0
CHIBOMBO,2002,-88.36194940506037,47
CHIBOMBO,2003,41.05244018569197,12
CHIBOMBO,2004,-15.90309869521645,17
CHIBOMBO,2005,-178.16720808397667,90
CHIBOMBO,2006,40.222469951010964,0
CHIBOMBO,2007,-4.258783175855488,3
CHIBOMBO,2008,-41.34857739096197,39
CHIBOMBO,2009,54.18314509868018,0
CHIBOMBO,2010,39.35285184849903,2
CHIBOMBO,2011,30.880985022994498,10
CHIBOMBO,2012,48.23602971562877,2
CHIBOMBO,2013,6.250510629657417,7
CHIBOMBO,2014,47.49047803685081,3
CHIBOMBO,2015,59.602992534483604,12
CHIBOMBO,2016,0.6412420551454804,25
CHIBOMBO,2017,84.25308829812832,0
CHIBOMBO,2018,-18.48552622514366,26
CHIBOMBO,2019,-38.69833503116998,29
CHIBOMBO,2020,-64.1189719707053,35
CHIBOMBO,2021,34.961204011879545,0
CHIBOMBO,2022,53.97661385917402,6
CHIBOMBO,2023,-9.057887075771358,8
CHIBOMBO,2024,-214.63928294333016,85
CHIBOMBO,2025,-17.556136738653027,17
CHIBOMBO,2026,36.22914644018144,0
CHIENGI,2000,-41.38066718264268,25
CHIENGI,2001,10.15832428936506,10
CHIENGI,2002,31.1774859228897,9
CHIENGI,2003,-9.4053198723127,14
CHIENGI,2004,-11.726758231347413,21
CHIENGI,2005,-80.21639403499312,44
CHIENGI,2006,25.33193351554877,7
CHIENGI,2007,-84.28786467460374,37
CHIENGI,2008,20.60802610809749,9
CHIENGI,2009,-35.41799386111749,39
CHIENGI,2010,7.992773117292877,16
CHIENGI,2011,19.608006901471885,3
CHIENGI,2012,-24.302644348627904,21
CHIENGI,2013,35.384087444882574,9
CHIENGI,2014,8.68381338761979,15
CHIENGI,2015,-69.74696281412886,40
CHIENGI,2016,37.381665755941434,0
CHIENGI,2017,11.166006609893206,17
CHIENGI,2018,22.84818757636111,14
CHIENGI,2019,10.766334481249968,4
CHIENGI,2020,30.56959357314433,9
CHIENGI,2021,-8.789344873169332,27
CHIENGI,2022,51.13353738254616,4
CHIENGI,2023,-5.941571608711701,31
CHIENGI,2024,37.71601141166814,7
CHIENGI,2025,-19.014286141772143,20
CHIENGI,2026,28.495590507776733,2
CHIKANKANTA,2000,49.30315679774519,8
CHIKANKANTA,2001,64.99893039283198,2
CHIKANKANTA,2002,-127.05873307822705,75
CHIKANKANTA,2003,22.682530711984658,12
CHIKANKANTA,2004,9.766500320772856,23
CHIKANKANTA,2005,-127.60906115180683,69
CHIKANKANTA,2006,72.74898561600189,0
CHIKANKANTA,2007,21.926681940852728,1
CHIKANKANTA,2008,-32.27850052282392,23
CHIKANKANTA,2009,43.89703444702121,0
CHIKANKANTA,2010,36.847279903935615,5
CHIKANKANTA,2011,37.7682187647192,8
CHIKANKANTA,2012,57.14442402468902,4
CHIKANKANTA,2013,-6.027760692729706,15
CHIKANKANTA,2014,44.96494747045804,0
CHIKANKANTA,2015,60.565356685982415,2
CHIKANKANTA,2016,9.681264477005294,24
CHIKANKANTA,2017,74.43125918701449,0
CHIKANKANTA,2018,6.7043299164177785,23
CHIKANKANTA,2019,-117.72355774180613,63
CHIKANKANTA,2020,-82.44201418505561,65
CHIKANKANTA,2021,2.2942179894074513,20
CHIKANKANTA,2022,48.92289832357578,12
CHIKANKANTA,2023,-26.833398024741907,26
CHIKANKANTA,2024,-152.25958903411524,73
CHIKANKANTA,2025,-11.449896516463966,10
CHIKANKANTA,2026,18.532601462768767,6
CHILANGA,2000,40.344425150760166,9
CHILANGA,2001,65.86493021422888,0
CHILANGA,2002,-76.81424089752895,52
CHILANGA,2003,33.328842066479886,10
CHILANGA,2004,1.467834535400908,15
CHILANGA,2005,-144.31545552216653,75
CHILANGA,2006,64.61732039629591,0
CHILANGA,2007,3.933881519934509,6
CHILANGA,2008,-40.96903064746168,29
CHILANGA,2009,39.99634809074312,0
CHILANGA,2010,55.515177431942206,1
CHILANGA,2011,37.94182112921734,17
CHILANGA,2012,52.842435416297064,5
CHILANGA,2013,-31.207932646965155,18
CHILANGA,2014,44.67562186423854,0
CHILANGA,2015,54.01801244472066,9
CHILANGA,2016,15.398497707531355,21
CHILANGA,2017,63.34761026984573,0
CHILANGA,2018,-3.571790564258037,25
CHILANGA,2019,-64.16872837332372,56
CHILANGA,2020,-86.04736743838488,51
CHILANGA,2021,3.366365363088666,15
CHILANGA,2022,43.53536587253723,7
CHILANGA,2023,-49.21096540101842,44
CHILANGA,2024,-168.69748256190735,72
CHILANGA,2025,-5.045965275732505,14
CHILANGA,2026,48.17049946158761,0
CHINSALI,2000,-151.81849692714488,60
CHINSALI,2001,31.00141113718619,2
CHINSALI,2002,43.464290836455504,0
CHINSALI,2003,-0.015160359060057693,15
CHINSALI,2004,-98.59283527293688,43
CHINSALI,2005,-118.90383476793647,66
CHINSALI,2006,-80.73527020497659,31
CHINSALI,2007,-29.21820649989937,36
CHINSALI,2008,-17.667327324289737,35
CHINSALI,2009,-35.74167446662046,29
CHINSALI,2010,3.7293933934296986,5
CHINSALI,2011,-3.394839709950086,11
CHINSALI,2012,7.684126086760381,9
CHINSALI,2013,6.505410557270355,8
CHINSALI,2014,27.344045874089293,8
CHINSALI,2015,-29.04548821263324,30
CHINSALI,2016,35.11711655193686,1
CHINSALI,2017,-5.529971372286199,16
CHINSALI,2018,34.502575614821374,12
CHINSALI,2019,26.692270018117213,0
CHINSALI,2020,88.93575841852518,0
CHINSALI,2021,56.6304876093585,4
CHINSALI,2022,43.540663909320735,11
CHINSALI,2023,76.96794027422891,5
CHINSALI,2024,109.8149156302993,0
CHINSALI,2025,-98.98568035702144,53
CHINSALI,2026,75.74293893809762,0
CHIPANGALI,2000,-42.49553845993883,28
CHIPANGALI,2001,86.2395323335823,0
CHIPANGALI,2002,42.08716469925844,6
CHIPANGALI,2003,30.03119755469459,16
CHIPANGALI,2004,-34.42888702905593,24
CHIPANGALI,2005,-176.2790289013914,83
CHIPANGALI,2006,31.950037199191975,8
CHIPANGALI,2007,-8.42112189877852,28
CHIPANGALI,2008,-22.26776980712351,36
CHIPANGALI,2009,51.27697904193077,2
CHIPANGALI,2010,23.802673090158574,3
CHIPANGALI,2011,-11.512742807199594,17
CHIPANGALI,2012,76.11326565182955,0
CHIPANGALI,2013,15.639932535488139,6
CHIPANGALI,2014,6.853199295213599,9
CHIPANGALI,2015,-72.42096435731462,40
CHIPANGALI,2016,-72.72028746657017,35
CHIPANGALI,2017,12.900527309662408,10
CHIPANGALI,2018,-16.035786050113476,18
CHIPANGALI,2019,37.614234761747994,8
CHIPANGALI,2020,10.276999005658036,2
CHIPANGALI,2021,74.62147146911167,1
CHIPANGALI,2022,41.0320112150714,11
CHIPANGALI,2023,110.58759944677755,0
CHIPANGALI,2024,-119.4412401005361,71
CHIPANGALI,2025,-117.21759686676864,49
CHIPANGALI,2026,39.17021253317035,0
CHIPATA,2000,-5.191186477810994,18
CHIPATA,2001,58.8847465519075,0
CHIPATA,2002,50.815661781722135,5
CHIPATA,2003,38.491256297713406,9
CHIPATA,2004,22.754229334567334,12
CHIPATA,2005,-160.7510583849582,72
CHIPATA,2006,77.54976492503992,0
CHIPATA,2007,-21.307446942779737,32
CHIPATA,2008,-29.716175972327918,41
CHIPATA,2009,42.864037445158964,0
CHIPATA,2010,35.62380082888864,1
CHIPATA,2011,39.08808323198996,7
CHIPATA,2012,42.293536187492535,2
CHIPATA,2013,-6.945206857634976,17
CHIPATA,2014,-10.256423684468976,8
CHIPATA,2015,-5.610834983276517,25
CHIPATA,2016,-71.33102241743352,30
CHIPATA,2017,35.268690001204575,3
CHIPATA,2018,-40.09278869540358,35
CHIPATA,2019,5.473440384121338,10
CHIPATA,2020,-37.62955225635129,39
CHIPATA,2021,35.6923000302865,0
CHIPATA,2022,24.931419270295958,15
CHIPATA,2023,78.75231822010413,0
CHIPATA,2024,-182.70587732746932,76
CHIPATA,2025,-47.98698299902114,32
CHIPATA,2026,28.627021991176296,8
CHIRUNDU,2000,32.63071597764546,9
CHIRUNDU,2001,74.13812831988801,14
CHIRUNDU,2002,-170.9351101070577,99
CHIRUNDU,2003,31.487570377282804,21
CHIRUNDU,2004,-26.67477584785431,34
CHIRUNDU,2005,-131.58669109129823,91
CHIRUNDU,2006,76.9769994006135,0
CHIRUNDU,2007,12.078958656953589,0
CHIRUNDU,2008,19.198421167914436,0
CHIRUNDU,2009,82.43669820409525,0
CHIRUNDU,2010,4.161115784833458,24
CHIRUNDU,2011,-8.485300551953598,0
CHIRUNDU,2012,27.59182320964199,2
CHIRUNDU,2013,33.5668453765923,0
CHIRUNDU,2014,26.199144467092886,0
CHIRUNDU,2015,93.66253319965423,0
CHIRUNDU,2016,-5.6145304803692575,37
CHIRUNDU,2017,123.32036577987775,0
CHIRUNDU,2018,20.958898318147234,22
CHIRUNDU,2019,-141.11137554398508,94
CHIRUNDU,2020,-59.7646122947857,43
CHIRUNDU,2021,42.76502367805565,0
CHIRUNDU,2022,17.838690402450084,10
CHIRUNDU,2023,-2.9184919127535203,23
CHIRUNDU,2024,-97.16991531026302,67
CHIRUNDU,2025,-32.25672427037476,14
CHIRUNDU,2026,-44.336560649384744,36
CHISAMBA,2000,29.71126691819246,13
CHISAMBA,2001,78.39831745933378,0
CHISAMBA,2002,-106.19985663197865,65
CHISAMBA,2003,49.007240456006635,9
CHISAMBA,2004,-26.18990186869715,24
CHISAMBA,2005,-206.55873783741492,91
CHISAMBA,2006,43.63133566087766,0
CHISAMBA,2007,3.7211165346592283,3
CHISAMBA,2008,-31.17184656435101,21
CHISAMBA,2009,68.17264146583516,0
CHISAMBA,2010,50.86796052636352,2
CHISAMBA,2011,26.31889972537983,4
CHISAMBA,2012,40.17626389260437,1
CHISAMBA,2013,16.621479118454072,0
CHISAMBA,2014,34.02018717872035,0
CHISAMBA,2015,77.18054760895552,7
CHISAMBA,2016,-30.286619087219872,40
CHISAMBA,2017,85.01575058967045,0
CHISAMBA,2018,-19.528635023674006,28
CHISAMBA,2019,-55.76389026744572,35
CHISAMBA,2020,-73.8707548603987,47
CHISAMBA,2021,50.615434601714924,0
CHISAMBA,2022,48.57733796037114,7
CHISAMBA,2023,-1.4056432422605334,1
CHISAMBA,2024,-193.31068565025404,80
CHISAMBA,2025,3.2199565377344834,3
CHISAMBA,2026,36.98171604060444,0
CHITAMBO,2000,-29.12217198551198,23
CHITAMBO,2001,63.783404176676136,0
CHITAMBO,2002,0.8210091092632781,9
CHITAMBO,2003,32.31245160816111,12
CHITAMBO,2004,-26.767308791004073,28
CHITAMBO,2005,-184.64485634795443,84
CHITAMBO,2006,-9.850335707176427,14
CHITAMBO,2007,-8.001822617643608,39
CHITAMBO,2008,-44.57956413680398,44
CHITAMBO,2009,45.047988897886036,0
CHITAMBO,2010,31.04418775740291,2
CHITAMBO,2011,-4.018129254414555,9
CHITAMBO,2012,69.41734698321035,0
CHITAMBO,2013,-23.25366389024622,30
CHITAMBO,2014,30.4428655797832,5
CHITAMBO,2015,26.209491113121697,20
CHITAMBO,2016,-33.90511189106825,19
CHITAMBO,2017,21.022309662288144,7
CHITAMBO,2018,-20.201965318904566,21
CHITAMBO,2019,38.457415576605584,8
CHITAMBO,2020,18.82787149591347,3
CHITAMBO,2021,62.37120639995863,1
CHITAMBO,2022,41.99270304020517,9
CHITAMBO,2023,107.51302658906756,0
CHITAMBO,2024,-166.8344906699006,74
CHITAMBO,2025,-65.26257078901628,31
CHITAMBO,2026,24.93163228980867,2
CHOMA,2000,56.27590216457313,4
CHOMA,2001,44.85922290442033,5
