date,GLAD_year,ADMIN_NAME,PCODE,NDVI_mean,NDVI_median,NDVI_mode,EVI_mean,EVI_median,EVI_mode
18-02-00,2003,Mbala,ZM2011A20713,0.658044553,0.665423077,0.658130387,0.372168557,0.374,0.395335714
18-02-00,2003,Mporokoso,ZM2011A20714,0.599857895,0.625,0.5515,0.381768421,0.3719,0.33
18-02-00,2003,Chavuma,ZM2011A20801,0.563427059,0.5616,0.533533333,0.348540264,0.3490375,0.3490375
18-02-00,2003,Ikelenge,ZM2011A20802,0.382153592,0.3351,0.3545,0.237972984,0.2075,0.2075
18-02-00,2003,Kasempa,ZM2011A20804,0.71558637,0.735622222,0.744445455,0.490586394,0.5016625,0.505620833
18-02-00,2003,Mufumbwe,ZM2011A20806,0.669426361,0.700822222,0.673484615,0.458016017,0.4854,0.495307143
18-02-00,2003,Mwinilunga,ZM2011A20808,0.418713007,0.379,0.5414,0.28538897,0.2948,0.336
18-02-00,2003,Solwezi,ZM2011A20810,0.652906367,0.68147124,0.6694875,0.465214062,0.474486364,0.470616975
18-02-00,2003,Zambezi,ZM2011A20811,0.607779918,0.6464,0.610654545,0.375074156,0.405025,0.452266667
18-02-00,2003,Kabompo,ZM2011A20814,0.681020614,0.688785544,0.65862963,0.46229744,0.470930769,0.481911429
18-02-00,2003,Choma,ZM2011A20902,0.589962213,0.650113008,0.685517555,0.413981777,0.439538767,0.470622081
18-02-00,2003,Gwembe,ZM2011A20903,0.567376738,0.603846154,0.626986364,0.384469039,0.400552755,0.384750043
18-02-00,2003,Kazungula,ZM2011A20905,0.615117638,0.634950128,0.658179788,0.391247231,0.400605263,0.404191773
18-02-00,2003,Livingstone,ZM2011A20906,0.542544367,0.5793,0.5793,0.346013085,0.356,0.352475
18-02-00,2003,Monze,ZM2011A20908,0.48431548,0.490133333,0.744086486,0.358141521,0.361357998,0.52144289
18-02-00,2003,Namwala,ZM2011A20909,0.558095875,0.615483902,0.638577419,0.390306089,0.416258065,0.439197619
18-02-00,2003,Itezhi-Tezhi,ZM2011A20910,0.489194462,0.50505,0.58412,0.352718038,0.36044,0.486
18-02-00,2003,Siavonga,ZM2011A20911,0.545424281,0.584529391,0.5678875,0.359787595,0.381269882,0.420207409
18-02-00,2003,Sinazongwe,ZM2011A20912,0.573336526,0.607595899,0.556572222,0.370437432,0.388404,0.408075
18-02-00,2003,Kalomo,ZM2011A20916,0.605882379,0.638855739,0.65823911,0.410714746,0.419912456,0.408138722
18-02-00,2003,Mazabuka,ZM2011A20917,0.60345068,0.662242857,0.779194286,0.434549631,0.455113636,0.5059
18-02-00,2003,Kalabo,ZM2011A21001,0.601307094,0.6175,0.5211,0.431953847,0.4321,0.3898
18-02-00,2003,Mongu,ZM2011A21007,0.596975457,0.6078,0.4998,0.405448303,0.433,0.2771
18-02-00,2003,Senanga,ZM2011A21012,0.604522956,0.627084615,0.661657143,0.394854427,0.39954,0.424992308
18-02-00,2003,Shangombo,ZM2011A21014,0.616176552,0.618975,0.6465,0.398290804,0.3994125,0.368323591
18-02-00,2003,Kaoma,ZM2011A21018,0.600972502,0.631222727,0.63465,0.400857383,0.418881481,0.44235
18-02-00,2003,Lukulu,ZM2011A21019,0.705775475,0.7144,0.73302,0.471952022,0.4867,0.50655
18-02-00,2003,Sesheke,ZM2011A21020,0.5969545,0.611533333,0.611533333,0.362795132,0.36255,0.35271875
05-03-00,2003,Chibombo,ZM2011A20101,0.709761103,0.724497305,0.740151082,0.488794892,0.490122833,0.486134914
05-03-00,2003,Kabwe,ZM2011A20105,0.668331371,0.685726998,0.708920498,0.460830309,0.461577129,0.49115
05-03-00,2003,Kapiri Mposhi,ZM2011A20106,0.676707468,0.693427712,0.709068308,0.434602278,0.439412127,0.462758915
05-03-00,2003,Mkushi,ZM2011A20110,0.71772864,0.72848797,0.752038816,0.46869433,0.470876471,0.462929612
05-03-00,2003,Serenje,ZM2011A20111,0.675906536,0.6975125,0.724109524,0.437106046,0.44033,0.463761538
05-03-00,2003,Mumbwa,ZM2011A20113,0.715770505,0.744068634,0.755734783,0.5034083,0.521515737,0.521515737
05-03-00,2003,Chililabombwe,ZM2011A20201,0.610075897,0.6461,0.70847,0.417993788,0.4227,0.514261538
05-03-00,2003,Chingola,ZM2011A20202,0.617062579,0.651,0.771442857,0.401690159,0.415340856,0.430572025
05-03-00,2003,Kalulushi,ZM2011A20203,0.672078735,0.732016667,0.795102898,0.417517789,0.435875613,0.455183626
05-03-00,2003,Kitwe,ZM2011A20204,0.680029983,0.693534107,0.755179707,0.424911562,0.43641217,0.473707143
05-03-00,2003,Luanshya,ZM2011A20205,0.667621631,0.693384137,0.712593548,0.464225015,0.475771429,0.473678571
05-03-00,2003,Lufwanyama,ZM2011A20206,0.663749845,0.7198875,0.78318521,0.422807097,0.428757143,0.4191
05-03-00,2003,Masaiti,ZM2011A20207,0.666026982,0.716671165,0.744192404,0.447129063,0.470554954,0.498216245
05-03-00,2003,Mpongwe,ZM2011A20208,0.748325226,0.771551667,0.763601333,0.504675069,0.502081967,0.486293056
05-03-00,2003,Mufulira,ZM2011A20209,0.644719299,0.681975,0.729099856,0.437634938,0.4559,0.469826667
